video name,name,duration,link,thumbnail,created_time,modified_time,release_time
Edwin Romero - LAPD Graduation,Edwin Romero,9,https://vimeo.com/820913028,https://i.vimeocdn.com/video/1662337989-c465c556a26a1239bf66df570c0d588a27ffe49fd4dfb27398e8ad08520bc973-d_1920x1080?r=pad,2023-04-25T14:34:12+00:00,2023-05-07T21:22:00+00:00,2023-04-25T14:34:12+00:00
Luciana Stearns - LAPD Graduation,Luciana Stearns,114,https://vimeo.com/786321915,https://i.vimeocdn.com/video/1580691589-bbcd7bee9c1b59476b2f6a9f1ee370ba47e2d583c7a38c8f8ad72ce771b4c02e-d_1920x1080?r=pad,2023-01-04T16:54:41+00:00,2023-05-07T21:41:04+00:00,2023-01-04T16:54:41+00:00
Ramiro Zuniga - LAPD Graduation,Ramiro Zuniga,117,https://vimeo.com/786322420,https://i.vimeocdn.com/video/1580691813-b922d241efc3c18712ed8a6134faf506e64e739003dfd2e24929411ad805c7c9-d_1920x1080?r=pad,2023-01-04T16:56:17+00:00,2023-05-07T21:40:57+00:00,2023-01-04T16:56:17+00:00
Herrera Ortega Lucio- LAPD Graduation,Herrera Ortega Lucio,167,https://vimeo.com/820913708,https://i.vimeocdn.com/video/1662335521-b0c1d9f7db421cd93a8768f3a21a45ccea39d94f7ccb08dc2c3eac8a9f62e9a9-d_1920x1080?r=pad,2023-04-25T14:35:59+00:00,2023-05-07T21:21:42+00:00,2023-04-25T14:35:59+00:00
Eduardo Monraz - LAPD Graduation Video,Eduardo Monraz,168,https://vimeo.com/820982475,https://i.vimeocdn.com/video/1662316371-7bc0cefa6163e2db8fc5242bf0d1fa45c778bb63c4765721a1770882c7ea68f2-d_1920x1080?r=pad,2023-04-25T17:30:43+00:00,2023-05-07T23:12:12+00:00,2023-04-25T17:30:43+00:00
Pablo Molina - LAPD Graduation Video,Pablo Molina,168,https://vimeo.com/820932652,https://i.vimeocdn.com/video/1662325603-bcf108db0ca0956ff32d24743fee98e116857e7afc3d9481cd53fd655851092f-d_1920x1080?r=pad,2023-04-25T15:22:38+00:00,2023-05-07T21:19:36+00:00,2023-04-25T15:22:38+00:00
Eduardo Monraz - LAPD Graduation,Eduardo Monraz,168,https://vimeo.com/820912742,https://i.vimeocdn.com/video/1662341445-334b555b57a0e6f87033d6a4cb3df8c05e9352c08ae30d93d824f1054644d183-d_1920x1080?r=pad,2023-04-25T14:33:28+00:00,2023-05-07T21:41:07+00:00,2023-04-25T14:33:28+00:00
Mikel Vasquez - LAPD Graduation,Mikel Vasquez,169,https://vimeo.com/820932332,https://i.vimeocdn.com/video/1662326475-451bba6b9af845e9652663836b3d83f7d4b39fc0e12fe378acac70938561d430-d_1920x1080?r=pad,2023-04-25T15:21:45+00:00,2023-05-07T21:14:01+00:00,2023-04-25T15:21:45+00:00
Karina Pedroza - LAPD Graduation,Karina Pedroza,169,https://vimeo.com/820922106,https://i.vimeocdn.com/video/1660877909-577edc200ca147be6778395f324c724f2503bcc2dfe3f0cdcbbff5fc6a92e9db-d_1920x1080?r=pad,2023-04-25T14:55:14+00:00,2023-05-07T21:19:44+00:00,2023-04-25T14:55:14+00:00
Joey Pinal - LAPD Graduation,Joey Pinal,169,https://vimeo.com/820920457,https://i.vimeocdn.com/video/1660874551-cfe34c37e9db77c1c263882cecf86d1a88af95fc8ffc0ad4d6e5d4dfa3059c76-d_1920x1080?r=pad,2023-04-25T14:52:21+00:00,2023-05-07T21:23:26+00:00,2023-04-25T14:52:21+00:00
Albert Romo - LAPD Graduation,Albert Romo,169,https://vimeo.com/820653683,https://i.vimeocdn.com/video/1662348042-be8e8bea7b15bbba7932ecf842f3eeb23fcfc44dc1d2616fa6871ac584bc6d9a-d_1920x1080?r=pad,2023-04-24T19:50:35+00:00,2023-05-07T21:41:17+00:00,2023-04-24T19:50:35+00:00
Shawn Zhang - LAPD Graduation,Shawn Zhang,170,https://vimeo.com/820910271,https://i.vimeocdn.com/video/1660859606-af10bd03ecf86419fab5ef4d924ed742585cacf9d6fb831461186fd70ea87e0a-d_1920x1080?r=pad,2023-04-25T14:26:32+00:00,2023-05-07T21:41:37+00:00,2023-04-25T14:26:32+00:00
Michael Guerrero - LAPD Graduation,Michael Guerrero,177,https://vimeo.com/820931759,https://i.vimeocdn.com/video/1662327316-6f52ff777fa923b93dae20ba57d5395c2a44f8526581085eac09b30b563b3ee8-d_1920x1080?r=pad,2023-04-25T15:20:00+00:00,2023-05-07T21:15:08+00:00,2023-04-25T15:20:00+00:00
Katherine Burga - LAPD Graduation,Katherine Burga,177,https://vimeo.com/820922529,https://i.vimeocdn.com/video/1662324747-9d896af8d1ce8b31f5fa1bc89b5176495416e19f41646adc8f2542343203a6bf-d_1920x1080?r=pad,2023-04-25T14:56:07+00:00,2023-05-07T21:10:42+00:00,2023-04-25T14:56:07+00:00
Anthony Hidalgo - LAPD Graduation,Anthony Hidalgo,177,https://vimeo.com/820656605,https://i.vimeocdn.com/video/1662346632-c707eac236e0cf9ca4a4926f43e7664fe4f60844a27eeb5a2b45b0bd1d989f5b-d_1920x1080?r=pad,2023-04-24T19:59:59+00:00,2023-05-07T21:40:59+00:00,2023-04-24T19:59:59+00:00
Brandon Matthews - LAPD Graduation,Brandon Matthews,177,https://vimeo.com/820366339,https://i.vimeocdn.com/video/1662349229-a0c9ed469d2051f3261115f3d78379d14a6744a44e63b6eadb376883355d40af-d_1920x1080?r=pad,2023-04-24T01:47:52+00:00,2023-05-07T21:41:00+00:00,2023-04-24T01:47:52+00:00
